Name,Location,Cuisine,Cuisine type,Star,Latitude,Longtitude,$,Casual or Fine,Yelp Ratings,Trip Advisor Rating,Food,Service,Value,Atmosphere
Le Comptoir,Los Angeles,Californian,"Californian, Vegetarian",1,34.06354,-118.30057,$$$$,FINE,4,4.5,4.5,4.5,3.5,4
Q Sushi,Los Angeles,Japanese,"Japanese, Sushi",1,34.046883,-118.255844,$$$$,FINE,4,4.5,4.5,4.5,4,4
Orsa & Winston,Los Angeles,Fusion,"Contemporary, Asian",1,33.92145,-118.275406,$$$$,FINE,4,4,4,4.5,3.5,4
Shibumi,Los Angeles,Japanese,"Japanese, Asian and Western",1,34.044155,-118.256134,$$$$,FINE,3.5,4.5,4.5,4.5,4,4.5
Hayato,Los Angeles,Japanese,"Japanese, Seafood",1,34.03311,-118.24265,$$$$,FINE,5,4.5,4.5,5,4,4.5
Bistro Na's,Temple City,Chinese,"Chinese, Beijing Cuisine",1,34.104412,-118.07159,$$,CASUAL,4,4.5,4.5,4.5,3.5,4.5
Taco María,Costa Mesa,Mexican,"Mexican, Contemporary",1,33.69475,-117.924965,$$$,FINE,4,3,4.5,4.5,3,4.5
Hana re,Costa Mesa,Japanese,"Japanese, Sushi",1,33.67759,-117.886566,$$$$,FINE,4.5,4.5,4.5,5,4,4.5
Addison,San Diego,Contemporary,"Contemporary, French",1,32.939903,-117.20013,$$$$,FINE,4.5,4.5,4.5,4.5,3.5,4
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
